input,output,instruction
Tell me something about AEC.,"Assam Engineering College (AEC), the first engineering college in the north-eastern India and a premier technical institute of the entire country, was inaugurated by Pandit Jawaharlal Nehru in year of 1955. It is the premier technical institute of North East India and is located in the Jalukbari area of Guwahati city. AEC has been the hub of many academic and supplementary activities in Assam for almost six decades. It offers Bachelor of Engineering (BE) courses in Civil Engineering, Mechanical Engineering, Electrical Engineering, Chemical Engineering, Electronics and Telecommunication Engineering, Computer Science and Engineering, Instrumentation Engineering and Industrial & Production Engineering. It also offers Masters of Engineering/ Technology (ME/ MTech) courses in Civil Engineering, Electrical Engineering, Mechanical Engineering (ME) and Master in Computer Application (MCA) course. All the departments are having research facility and offer PhD programs. Assam Engineering College (AEC) is affiliated with the Assam Science and Technology University (ASTU). The College has a total campus area of around 400 acres. This includes Quarters for employees, Hostels for students, Gymnasium, Hospital, Post office, State Bank of India branch with ATM facility, Book stall, Canteen, Co-operative store, etc. Apart from this the campus provides ample opportunities for developing extracurricular skills which include EDC, NCC, NSS, social, cultural and sports clubs. The Alumni of this institution have excelled in various spheres and are positioned very well globally in many leading government, public-sector and private organizations. AEC hosts two inter-college fests annually, Pyrokinesis (cultural fest) and Udbhavanam (technical fest). The fests draw large number of students from the colleges of north-eastern India and have been highly popular.","Provide a brief overview of Assam Engineering College, including its establishment, location, and reputation."
With whom is AEC affiliated to?,"Assam Engineering College (AEC) was affiliated to Gauhati University (GU) prior to 2017. With the inception of the Assam Science and Technology University (ASTU), AEC got affiliated to ASTU since 2017.",State the affiliating university or institution for Assam Engineering College.
Where is Assam Engineering College situated?,This premier technical institute of North East India is located in the Jalukbari area of Guwahati city.,"Mention the geographical location of Assam Engineering College, including city and state."
When was Assam Engineering College (AEC) inaugurated? ,"Assam Engineering College (AEC), the first engineering college in the north-eastern India and a premier technical institute of the entire country, was inaugurated by Pandit Jawaharlal Nehru in year of 1955.",Provide the year or date of the inauguration of Assam Engineering College.
Who is the principal of AEC?,Dr. Kalyan Kalita is the principal of AEC.,Name the current principal of Assam Engineering College.
When was the MCA department of Assam Engineering College (AEC) established? ,The MCA department of Assam Engineering College (AEC) was established in 1955 ,State the year the MCA department at Assam Engineering College was established.
Who established the MCA department at Assam Engineering College?,The MCA department at AEC was established under the leadership of Ex- Principal Prof.A.K. Padmapati with guidance and approval from the Ministry of Human Resource and development and the All India Council for Technical Education(AICTE) to offer education in computer applications.,Provide the name or organization responsible for establishing the MCA department.
What is the duration of the MCA program at Assam engineering college?,The MCA program at Assam Engineering College is a two-year postgraduate course divided into four semesters.,Specify the total duration of the MCA program at Assam Engineering College.
What are the eligibility criteria for admission to the MCA program at Assam Engineering College?,Candidates must have a BCA degree or any bachelor’s degree with a minimum score of 50% with mathematics as a subject at the 10+12 level and at the graduate level and a valid entrance exam score.,List the eligibility requirements for enrolling in the MCA program.
Which entrance exam is required for MCA admission at Assam Engineering College?,Admission to the MCA program is based on the Joint MCA Entrance Examination (JMEE) conducted by Assam Science and Technology University (ASTU).,Mention the entrance examination necessary for MCA admissions at Assam Engineering College.
